source,intermediate,target,value
Embassy Staff - Privilege,Non-school zone exceed speed limit by <= 15km/h,RED LIGHT AND SPEED CAMERA,150
Embassy Staff - Privilege,Proceed When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,1
Embassy Staff - Privilege,Proceed When Traffic Light Red,RED LIGHT AND SPEED CAMERA,3
Embassy Staff - Privilege,School Zone  Exceed Speed Limit By <= 15 Km/H,MOBILE SPEED CAMERA,58
Embassy Staff - Privilege,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,10
Embassy Staff - Privilege,School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,1
Government Client,300 (1) Driver using mobile device,MOBILE DEVICE DETECTION CAMERA,66
Government Client,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,688
Government Client,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,98
Government Client,Enter Intersection When Traffic Light Red,RED LIGHT AND SPEED CAMERA,2
Government Client,Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,14
Government Client,Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,63
Government Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,FIXED ONLY SPEED CAMERA,53
Government Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,MOBILE SPEED CAMERA,33
Government Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,POINT TO POINT CAMERA,12
Government Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,RED LIGHT AND SPEED CAMERA,57
Government Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,342
Government Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,124
Government Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,POINT TO POINT CAMERA,124
Government Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,RED LIGHT AND SPEED CAMERA,271
Government Client,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,FIXED ONLY SPEED CAMERA,133
Government Client,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,56
Government Client,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,POINT TO POINT CAMERA,38
Government Client,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,RED LIGHT AND SPEED CAMERA,93
Government Client,Non-School Zone Exceed Speed Limit By > 45 Km/H,FIXED ONLY SPEED CAMERA,43
Government Client,Non-School Zone Exceed Speed Limit By > 45 Km/H,MOBILE SPEED CAMERA,16
Government Client,Non-School Zone Exceed Speed Limit By > 45 Km/H,POINT TO POINT CAMERA,17
Government Client,Non-School Zone Exceed Speed Limit By > 45 Km/H,RED LIGHT AND SPEED CAMERA,14
Government Client,Non-school zone exceed speed limit by <= 15km/h,FIXED ONLY SPEED CAMERA,372
Government Client,Non-school zone exceed speed limit by <= 15km/h,MOBILE SPEED CAMERA,230
Government Client,Non-school zone exceed speed limit by <= 15km/h,POINT TO POINT CAMERA,98
Government Client,Non-school zone exceed speed limit by <= 15km/h,RED LIGHT AND SPEED CAMERA,1102
Government Client,Proceed When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,5
Government Client,Proceed When Traffic Light Red,RED LIGHT AND SPEED CAMERA,15
Government Client,School Zone  Exceed Speed Limit By <= 15 Km/H,MOBILE SPEED CAMERA,155
Government Client,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,21
Government Client,School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,7
Government Client,School Zone Exceed Speed Limit By > 45 Km/H,MOBILE SPEED CAMERA,1
Other organisation,300 (1) Driver using mobile device,MOBILE DEVICE DETECTION CAMERA,3580
Other organisation,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,1568
Other organisation,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,341
Other organisation,Enter Intersection When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,2
Other organisation,Enter Intersection When Traffic Light Red,RED LIGHT AND SPEED CAMERA,3
Other organisation,Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,442
Other organisation,Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,1635
Other organisation,Non-School Zone Exceed Speed Limit <= 15 Km/H,FIXED ONLY SPEED CAMERA,6272
Other organisation,Non-School Zone Exceed Speed Limit <= 15 Km/H,MOBILE SPEED CAMERA,3281
Other organisation,Non-School Zone Exceed Speed Limit <= 15 Km/H,POINT TO POINT CAMERA,812
Other organisation,Non-School Zone Exceed Speed Limit <= 15 Km/H,RED LIGHT AND SPEED CAMERA,3044
Other organisation,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,1624
Other organisation,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,1744
Other organisation,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,POINT TO POINT CAMERA,171
Other organisation,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,RED LIGHT AND SPEED CAMERA,1517
Other organisation,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,FIXED ONLY SPEED CAMERA,249
Other organisation,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,101
Other organisation,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,POINT TO POINT CAMERA,42
Other organisation,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,RED LIGHT AND SPEED CAMERA,95
Other organisation,Non-School Zone Exceed Speed Limit By > 45 Km/H,FIXED ONLY SPEED CAMERA,213
Other organisation,Non-School Zone Exceed Speed Limit By > 45 Km/H,MOBILE SPEED CAMERA,24
Other organisation,Non-School Zone Exceed Speed Limit By > 45 Km/H,POINT TO POINT CAMERA,11
Other organisation,Non-School Zone Exceed Speed Limit By > 45 Km/H,RED LIGHT AND SPEED CAMERA,41
Other organisation,Non-school zone exceed speed limit by <= 15km/h,FIXED ONLY SPEED CAMERA,13274
Other organisation,Non-school zone exceed speed limit by <= 15km/h,MOBILE SPEED CAMERA,11210
Other organisation,Non-school zone exceed speed limit by <= 15km/h,POINT TO POINT CAMERA,2355
Other organisation,Non-school zone exceed speed limit by <= 15km/h,RED LIGHT AND SPEED CAMERA,30298
Other organisation,Proceed When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,79
Other organisation,Proceed When Traffic Light Red,RED LIGHT AND SPEED CAMERA,80
Other organisation,School Zone  Exceed Speed Limit By <= 15 Km/H,FIXED ONLY SPEED CAMERA,4
Other organisation,School Zone  Exceed Speed Limit By <= 15 Km/H,MOBILE SPEED CAMERA,6620
Other organisation,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,1
Other organisation,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,766
Other organisation,School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,10
Other Person,300 (1) Driver using mobile device,MOBILE DEVICE DETECTION CAMERA,16283
Other Person,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,12227
Other Person,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,2342
Other Person,Enter Intersection When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,77
Other Person,Enter Intersection When Traffic Light Red,RED LIGHT AND SPEED CAMERA,346
Other Person,Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,9933
Other Person,Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,26992
Other Person,Non-School Zone Exceed Speed Limit <= 15 Km/H,FIXED ONLY SPEED CAMERA,150194
Other Person,Non-School Zone Exceed Speed Limit <= 15 Km/H,MOBILE SPEED CAMERA,72289
Other Person,Non-School Zone Exceed Speed Limit <= 15 Km/H,POINT TO POINT CAMERA,15420
Other Person,Non-School Zone Exceed Speed Limit <= 15 Km/H,RED LIGHT AND SPEED CAMERA,115211
Other Person,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,17968
Other Person,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,15670
Other Person,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,POINT TO POINT CAMERA,1447
Other Person,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,RED LIGHT AND SPEED CAMERA,16445
Other Person,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,FIXED ONLY SPEED CAMERA,1742
Other Person,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,866
Other Person,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,POINT TO POINT CAMERA,148
Other Person,Non-School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,RED LIGHT AND SPEED CAMERA,847
Other Person,Non-School Zone Exceed Speed Limit By > 45 Km/H,FIXED ONLY SPEED CAMERA,1364
Other Person,Non-School Zone Exceed Speed Limit By > 45 Km/H,MOBILE SPEED CAMERA,248
Other Person,Non-School Zone Exceed Speed Limit By > 45 Km/H,POINT TO POINT CAMERA,33
Other Person,Non-School Zone Exceed Speed Limit By > 45 Km/H,RED LIGHT AND SPEED CAMERA,301
Other Person,Non-school zone exceed speed limit by <= 15km/h,FIXED ONLY SPEED CAMERA,80987
Other Person,Non-school zone exceed speed limit by <= 15km/h,MOBILE SPEED CAMERA,78703
Other Person,Non-school zone exceed speed limit by <= 15km/h,POINT TO POINT CAMERA,15279
Other Person,Non-school zone exceed speed limit by <= 15km/h,RED LIGHT AND SPEED CAMERA,201075
Other Person,Proceed When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,3100
Other Person,Proceed When Traffic Light Red,RED LIGHT AND SPEED CAMERA,3768
Other Person,School Zone  Exceed Speed Limit By <= 15 Km/H,FIXED ONLY SPEED CAMERA,35
Other Person,School Zone  Exceed Speed Limit By <= 15 Km/H,MOBILE SPEED CAMERA,48667
Other Person,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,3
Other Person,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,5325
Other Person,School Zone Exceed Speed Limit By > 30 But <= 45 Km/H,MOBILE SPEED CAMERA,115
Other Person,School Zone Exceed Speed Limit By > 45 Km/H,MOBILE SPEED CAMERA,8
Religious or Charitable Client,300 (1) Driver using mobile device,MOBILE DEVICE DETECTION CAMERA,28
Religious or Charitable Client,59 (1) Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,16
Religious or Charitable Client,60 Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,5
Religious or Charitable Client,Enter Intersection or Marked Foot Crossing When Traffic Arrow Red,RED LIGHT AND SPEED CAMERA,7
Religious or Charitable Client,Enter Intersection or Marked Foot Crossing When Traffic Light Red,RED LIGHT AND SPEED CAMERA,22
Religious or Charitable Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,FIXED ONLY SPEED CAMERA,63
Religious or Charitable Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,MOBILE SPEED CAMERA,37
Religious or Charitable Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,POINT TO POINT CAMERA,10
Religious or Charitable Client,Non-School Zone Exceed Speed Limit <= 15 Km/H,RED LIGHT AND SPEED CAMERA,22
Religious or Charitable Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,FIXED ONLY SPEED CAMERA,9
Religious or Charitable Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,3
Religious or Charitable Client,Non-School Zone Exceed Speed Limit > 15 But <= 30 Km/H,RED LIGHT AND SPEED CAMERA,10
Religious or Charitable Client,Non-school zone exceed speed limit by <= 15km/h,FIXED ONLY SPEED CAMERA,111
Religious or Charitable Client,Non-school zone exceed speed limit by <= 15km/h,MOBILE SPEED CAMERA,107
Religious or Charitable Client,Non-school zone exceed speed limit by <= 15km/h,POINT TO POINT CAMERA,22
Religious or Charitable Client,Non-school zone exceed speed limit by <= 15km/h,RED LIGHT AND SPEED CAMERA,334
Religious or Charitable Client,Proceed When Traffic Light Red,RED LIGHT AND SPEED CAMERA,1
Religious or Charitable Client,School Zone  Exceed Speed Limit By <= 15 Km/H,MOBILE SPEED CAMERA,104
Religious or Charitable Client,School Zone Exceed Speed Limit By > 15 But <= 30 Km/H,MOBILE SPEED CAMERA,10
